what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969849443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969849553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969849615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335969850442
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1335969866354
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1335969866900
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1335969867368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969882609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969883935
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1335969892780
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1335969893201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969893279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969898069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969910187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969918674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969924741
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1335969926488
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1335969926675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969931246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335969931698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969935240
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335969935851
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1335969938572
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1335969938619
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1335969938619
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1335969938759
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1335969938853
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1335969938900
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1335969939056
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1335969939056
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1335969939056
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1335969939056
